Sr. No.,Item Name,Quantity,UOM,Brand,RM,RM Currency,MF,MF Currency,Unit Price (₹),Extended Price (₹),Tax,Total Price (₹),Baseline Price (₹)
132,TITAN 25mm wrench,56,crystals,MNO,885,INR,921,INR,1968,110208,12 %,123432.96,126739.2
133,Air Pump,70,crystals,XYZ,752,INR,697,INR,1925,134750,12 %,150920.0,154962.5
134,Air Pump,52,litres,AKZ,838,INR,988,INR,2206,114712,12 %,128477.44,131918.8
135,TITAN 25mm wrench,24,crystals,ABC,964,INR,573,INR,1767,42408,12 %,47496.96,48769.2
136,Drill Machine,85,tons,MNO,741,INR,591,INR,1595,135575,12 %,151844.0,155911.25
137,LED Panel 250,94,tons,MNO,783,INR,762,INR,2025,190350,12 %,213192.0,218902.5
138,Air Pump,11,crystals,XYZ,671,INR,919,INR,1838,20218,12 %,22644.16,23250.7
139,TITAN 25mm wrench,6,tons,MNO,946,INR,956,INR,2164,12984,12 %,14542.08,14931.6
140,Drill Machine,10,litres,AKZ,818,INR,899,INR,2145,21450,12 %,24024.0,24667.5
141,TITAN 25mm wrench,86,crystals,AKZ,849,INR,929,INR,2102,180772,12 %,202464.64,207887.8
142,Drill Machine,27,crystals,ABC,819,INR,533,INR,1546,41742,12 %,46751.04,48003.3
143,Drill Machine,84,each,XYZ,934,INR,845,INR,1880,157920,12 %,176870.4,181608.0
144,Air Pump,86,litres,AKZ,653,INR,687,INR,1699,146114,12 %,163647.68,168031.1
145,Drill Machine,72,each,MKT,664,INR,869,INR,1819,130968,12 %,146684.16,150613.2
146,LED Panel 250,60,each,MNO,827,INR,638,INR,1861,111660,12 %,125059.2,128409.0
147,TITAN 25mm wrench,69,litres,ABC,945,INR,735,INR,2030,140070,12 %,156878.4,161080.5
148,SPARX 12V motor,16,crystals,MKT,689,INR,864,INR,1804,28864,12 %,32327.68,33193.6
149,TITAN 25mm wrench,83,each,MKT,688,INR,760,INR,1811,150313,12 %,168350.56,172859.95
150,SPARX 12V motor,82,litres,XYZ,911,INR,655,INR,1932,158424,12 %,177434.88,182187.6
151,Drill Machine,29,tons,MNO,862,INR,699,INR,1756,50924,12 %,57034.88,58562.6
152,Drill Machine,46,each,MKT,903,INR,984,INR,2300,105800,12 %,118496.0,121670.0
153,Air Pump,31,tons,MKT,531,INR,947,INR,1783,55273,12 %,61905.76,63563.95
154,TITAN 25mm wrench,64,each,XYZ,632,INR,892,INR,1687,107968,12 %,120924.16,124163.2
155,LED Panel 250,23,each,ABC,682,INR,826,INR,1767,40641,12 %,45517.92,46737.15
156,SPARX 12V motor,17,tons,AKZ,943,INR,799,INR,1941,32997,12 %,36956.64,37946.55
157,Drill Machine,54,each,MNO,741,INR,832,INR,1845,99630,12 %,111585.6,114574.5
158,Air Pump,5,litres,MKT,550,INR,920,INR,1928,9640,12 %,10796.8,11086.0
159,LED Panel 250,75,tons,XYZ,637,INR,847,INR,1939,145425,12 %,162876.0,167238.75
160,SPARX 12V motor,25,litres,MKT,566,INR,907,INR,1888,47200,12 %,52864.0,54280.0
161,TITAN 25mm wrench,4,litres,XYZ,782,INR,932,INR,2002,8008,12 %,8968.96,9209.2
162,TITAN 25mm wrench,31,tons,MKT,955,INR,524,INR,1852,57412,12 %,64301.44,66023.8
163,LED Panel 250,88,crystals,XYZ,801,INR,676,INR,1726,151888,12 %,170114.56,174671.2
164,Air Pump,37,litres,ABC,851,INR,584,INR,1607,59459,12 %,66594.08,68377.85
165,TITAN 25mm wrench,65,each,MKT,888,INR,989,INR,2134,138710,12 %,155355.2,159516.5
166,LED Panel 250,97,tons,MKT,511,INR,590,INR,1496,145112,12 %,162525.44,166878.8
167,SPARX 12V motor,86,crystals,ABC,755,INR,661,INR,1549,133214,12 %,149199.68,153196.1
168,Air Pump,96,tons,MKT,626,INR,769,INR,1547,148512,12 %,166333.44,170788.8
169,Air Pump,17,each,XYZ,739,INR,854,INR,1960,33320,12 %,37318.4,38318.0
170,Air Pump,65,litres,XYZ,748,INR,812,INR,1952,126880,12 %,142105.6,145912.0
171,Air Pump,25,crystals,MKT,946,INR,666,INR,1960,49000,12 %,54880.0,56350.0
172,Drill Machine,86,litres,AKZ,719,INR,514,INR,1492,128312,12 %,143709.44,147558.8
173,Air Pump,88,crystals,MNO,864,INR,523,INR,1639,144232,12 %,161539.84,165866.8
174,TITAN 25mm wrench,94,each,XYZ,942,INR,998,INR,2131,200314,12 %,224351.68,230361.1
175,Drill Machine,13,litres,XYZ,716,INR,995,INR,1838,23894,12 %,26761.28,27478.1
176,TITAN 25mm wrench,86,crystals,AKZ,773,INR,907,INR,2097,180342,12 %,201983.04,207393.3
177,Drill Machine,11,each,ABC,705,INR,773,INR,1751,19261,12 %,21572.32,22150.15
178,SPARX 12V motor,15,crystals,MKT,780,INR,602,INR,1485,22275,12 %,24948.0,25616.25
179,TITAN 25mm wrench,40,tons,XYZ,510,INR,603,INR,1343,53720,12 %,60166.4,61778.0
180,SPARX 12V motor,100,litres,ABC,976,INR,891,INR,1973,197300,12 %,220976.0,226895.0
181,Air Pump,55,each,XYZ,988,INR,793,INR,1946,107030,12 %,119873.6,123084.5
182,LED Panel 250,66,crystals,MNO,832,INR,911,INR,2235,147510,12 %,165211.2,169636.5
183,LED Panel 250,22,tons,ABC,714,INR,542,INR,1653,36366,12 %,40729.92,41820.9
184,TITAN 25mm wrench,37,litres,AKZ,789,INR,944,INR,2155,79735,12 %,89303.2,91695.25
185,LED Panel 250,66,litres,MNO,524,INR,501,INR,1264,83424,12 %,93434.88,95937.6
186,TITAN 25mm wrench,39,each,XYZ,971,INR,730,INR,2187,85293,12 %,95528.16,98086.95
187,Drill Machine,14,crystals,MKT,634,INR,566,INR,1682,23548,12 %,26373.76,27080.2
188,SPARX 12V motor,64,tons,ABC,707,INR,869,INR,1930,123520,12 %,138342.4,142048.0
189,Drill Machine,41,each,MKT,568,INR,868,INR,1648,67568,12 %,75676.16,77703.2
190,TITAN 25mm wrench,22,crystals,AKZ,590,INR,645,INR,1685,37070,12 %,41518.4,42630.5
191,TITAN 25mm wrench,80,tons,MNO,740,INR,671,INR,1854,148320,12 %,166118.4,170568.0
192,LED Panel 250,49,litres,MKT,934,INR,691,INR,1871,91679,12 %,102680.48,105430.85
193,Drill Machine,59,tons,ABC,600,INR,963,INR,1825,107675,12 %,120596.0,123826.25
194,Drill Machine,39,each,ABC,929,INR,680,INR,1872,73008,12 %,81768.96,83959.2
195,SPARX 12V motor,16,tons,ABC,745,INR,699,INR,1566,25056,12 %,28062.72,28814.4
196,Air Pump,40,each,ABC,604,INR,974,INR,1802,72080,12 %,80729.6,82892.0
197,TITAN 25mm wrench,5,each,ABC,648,INR,783,INR,1897,9485,12 %,10623.2,10907.75
198,SPARX 12V motor,49,tons,ABC,726,INR,524,INR,1629,79821,12 %,89399.52,91794.15
199,LED Panel 250,37,each,MNO,701,INR,972,INR,1776,65712,12 %,73597.44,75568.8
200,TITAN 25mm wrench,97,tons,MNO,737,INR,964,INR,1976,191672,12 %,214672.64,220422.8
201,Air Pump,84,tons,MNO,515,INR,802,INR,1507,126588,12 %,141778.56,145576.2
202,Drill Machine,62,tons,ABC,806,INR,901,INR,2105,130510,12 %,146171.2,150086.5
203,Drill Machine,12,crystals,MNO,808,INR,745,INR,1721,20652,12 %,23130.24,23749.8
204,Drill Machine,67,crystals,MNO,617,INR,809,INR,1680,112560,12 %,126067.2,129444.0
205,LED Panel 250,24,crystals,AKZ,801,INR,538,INR,1536,36864,12 %,41287.68,42393.6
206,SPARX 12V motor,78,litres,MNO,993,INR,967,INR,2454,191412,12 %,214381.44,220123.8
207,Air Pump,93,tons,AKZ,639,INR,501,INR,1393,129549,12 %,145094.88,148981.35
208,TITAN 25mm wrench,4,crystals,AKZ,647,INR,798,INR,1785,7140,12 %,7996.8,8211.0
209,TITAN 25mm wrench,8,tons,MNO,766,INR,713,INR,1866,14928,12 %,16719.36,17167.2
210,Air Pump,61,crystals,ABC,939,INR,945,INR,2012,122732,12 %,137459.84,141141.8
211,SPARX 12V motor,26,litres,MNO,981,INR,500,INR,1852,48152,12 %,53930.24,55374.8
212,SPARX 12V motor,83,each,XYZ,683,INR,969,INR,2074,172142,12 %,192799.04,197963.3
213,SPARX 12V motor,89,each,MNO,883,INR,920,INR,2117,188413,12 %,211022.56,216674.95
214,LED Panel 250,89,tons,MKT,588,INR,615,INR,1305,116145,12 %,130082.4,133566.75
215,LED Panel 250,9,crystals,MKT,917,INR,960,INR,2303,20727,12 %,23214.24,23836.05
216,Air Pump,48,tons,ABC,632,INR,731,INR,1846,88608,12 %,99240.96,101899.2
217,Drill Machine,88,litres,MKT,578,INR,800,INR,1796,158048,12 %,177013.76,181755.2
218,Air Pump,63,tons,MKT,506,INR,988,INR,1948,122724,12 %,137450.88,141132.6
219,LED Panel 250,46,each,ABC,508,INR,805,INR,1739,79994,12 %,89593.28,91993.1
220,Air Pump,73,each,ABC,915,INR,679,INR,1905,139065,12 %,155752.8,159924.75
221,TITAN 25mm wrench,75,crystals,MKT,619,INR,983,INR,1923,144225,12 %,161532.0,165858.75
222,Drill Machine,77,litres,AKZ,949,INR,696,INR,1787,137599,12 %,154110.88,158238.85
223,SPARX 12V motor,15,litres,AKZ,558,INR,690,INR,1362,20430,12 %,22881.6,23494.5
224,SPARX 12V motor,50,tons,ABC,512,INR,873,INR,1868,93400,12 %,104608.0,107410.0
225,Air Pump,71,tons,MKT,731,INR,796,INR,1740,123540,12 %,138364.8,142071.0
226,TITAN 25mm wrench,30,tons,MNO,760,INR,907,INR,1871,56130,12 %,62865.6,64549.5
227,TITAN 25mm wrench,10,tons,MKT,887,INR,817,INR,2025,20250,12 %,22680.0,23287.5
228,SPARX 12V motor,78,tons,ABC,586,INR,901,INR,1809,141102,12 %,158034.24,162267.3
229,TITAN 25mm wrench,53,tons,MNO,763,INR,985,INR,1984,105152,12 %,117770.24,120924.8
230,TITAN 25mm wrench,33,each,MNO,988,INR,582,INR,1704,56232,12 %,62979.84,64666.8
231,TITAN 25mm wrench,24,litres,AKZ,909,INR,787,INR,1912,45888,12 %,51394.56,52771.2
232,LED Panel 250,8,litres,MNO,858,INR,529,INR,1656,13248,12 %,14837.76,15235.2
233,Drill Machine,11,tons,AKZ,929,INR,514,INR,1570,17270,12 %,19342.4,19860.5
234,Air Pump,80,each,AKZ,848,INR,764,INR,1766,141280,12 %,158233.6,162472.0
235,Drill Machine,99,each,AKZ,994,INR,537,INR,1650,163350,12 %,182952.0,187852.5
236,SPARX 12V motor,40,litres,MKT,586,INR,624,INR,1401,56040,12 %,62764.8,64446.0
237,LED Panel 250,87,crystals,MKT,903,INR,887,INR,2078,180786,12 %,202480.32,207903.9
238,Air Pump,28,tons,AKZ,994,INR,925,INR,2265,63420,12 %,71030.4,72933.0
239,TITAN 25mm wrench,29,each,MNO,826,INR,601,INR,1555,45095,12 %,50506.4,51859.25
240,Air Pump,27,each,MNO,817,INR,735,INR,1946,52542,12 %,58847.04,60423.3
241,Air Pump,12,tons,AKZ,863,INR,857,INR,1828,21936,12 %,24568.32,25226.4
242,LED Panel 250,57,each,ABC,883,INR,659,INR,1917,109269,12 %,122381.28,125659.35
243,LED Panel 250,10,crystals,MNO,759,INR,902,INR,1929,19290,12 %,21604.8,22183.5
244,Air Pump,45,each,XYZ,794,INR,959,INR,2020,90900,12 %,101808.0,104535.0
245,LED Panel 250,71,each,ABC,952,INR,880,INR,2076,147396,12 %,165083.52,169505.4
246,Drill Machine,66,tons,ABC,813,INR,953,INR,2058,135828,12 %,152127.36,156202.2
247,SPARX 12V motor,72,tons,XYZ,659,INR,506,INR,1280,92160,12 %,103219.2,105984.0
248,SPARX 12V motor,76,tons,ABC,589,INR,688,INR,1379,104804,12 %,117380.48,120524.6
249,LED Panel 250,43,each,MNO,621,INR,524,INR,1303,56029,12 %,62752.48,64433.35
250,SPARX 12V motor,98,litres,MNO,712,INR,723,INR,1641,160818,12 %,180116.16,184940.7
251,SPARX 12V motor,90,tons,ABC,671,INR,913,INR,1988,178920,12 %,200390.4,205758.0
252,Drill Machine,1,crystals,MKT,846,INR,866,INR,2075,2075,12 %,2324.0,2386.25
253,Drill Machine,50,crystals,MNO,927,INR,718,INR,1805,90250,12 %,101080.0,103787.5
254,SPARX 12V motor,89,each,AKZ,787,INR,829,INR,1789,159221,12 %,178327.52,183104.15
255,TITAN 25mm wrench,21,crystals,ABC,659,INR,531,INR,1480,31080,12 %,34809.6,35742.0
256,Drill Machine,71,crystals,MNO,916,INR,596,INR,1935,137385,12 %,153871.2,157992.75
257,Air Pump,44,crystals,MNO,780,INR,823,INR,1837,80828,12 %,90527.36,92952.2
258,Drill Machine,54,crystals,MNO,627,INR,752,INR,1869,100926,12 %,113037.12,116064.9
259,SPARX 12V motor,44,each,MKT,996,INR,994,INR,2305,101420,12 %,113590.4,116633.0
260,Drill Machine,62,crystals,AKZ,816,INR,645,INR,1889,117118,12 %,131172.16,134685.7
261,TITAN 25mm wrench,13,tons,MKT,539,INR,549,INR,1289,16757,12 %,18767.84,19270.55
262,SPARX 12V motor,88,crystals,AKZ,984,INR,748,INR,2171,191048,12 %,213973.76,219705.2
263,LED Panel 250,43,litres,ABC,946,INR,873,INR,2148,92364,12 %,103447.68,106218.6
264,Drill Machine,69,crystals,MNO,833,INR,760,INR,1841,127029,12 %,142272.48,146083.35
265,Air Pump,66,each,ABC,520,INR,682,INR,1596,105336,12 %,117976.32,121136.4
266,Air Pump,39,crystals,ABC,557,INR,532,INR,1231,48009,12 %,53770.08,55210.35
267,LED Panel 250,69,crystals,XYZ,739,INR,555,INR,1680,115920,12 %,129830.4,133308.0
268,TITAN 25mm wrench,61,crystals,AKZ,747,INR,914,INR,1801,109861,12 %,123044.32,126340.15
269,LED Panel 250,72,crystals,AKZ,713,INR,504,INR,1673,120456,12 %,134910.72,138524.4
270,TITAN 25mm wrench,81,crystals,XYZ,846,INR,945,INR,2034,164754,12 %,184524.48,189467.1
271,Air Pump,73,each,MKT,902,INR,677,INR,1707,124611,12 %,139564.32,143302.65
272,Drill Machine,32,tons,AKZ,728,INR,714,INR,1656,52992,12 %,59351.04,60940.8
273,LED Panel 250,14,crystals,XYZ,849,INR,844,INR,1854,25956,12 %,29070.72,29849.4
274,TITAN 25mm wrench,44,crystals,MNO,777,INR,654,INR,1688,74272,12 %,83184.64,85412.8
275,LED Panel 250,41,tons,XYZ,523,INR,714,INR,1646,67486,12 %,75584.32,77608.9
